Name,Date Practiced,Refresh Database,Tunes
The Gullane Polka (24-02-17),"February 17, 2024 9:38 AM (CST)",,The Gullane Polka (https://www.notion.so/The-Gullane-Polka-fff4b194d26648c892405955f27332ba?pvs=21)
Upperchurch Polka #1 (24-02-17),"February 17, 2024 9:39 AM (CST)",,Upperchurch Polka #1 (https://www.notion.so/Upperchurch-Polka-1-ce94e991a3cb4fb1a03d2dafad5ac576?pvs=21)
Upperchurch Polka #2 (24-02-17),"February 17, 2024 9:39 AM (CST)",,Upperchurch Polka #2 (https://www.notion.so/Upperchurch-Polka-2-9531fd9e9548464bb0485fb52a8b0b7f?pvs=21)
The Kid on the Mountain (24-02-17),"February 17, 2024 10:48 AM (CST)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
Jenny Picking Cockles (24-02-17),"February 17, 2024 6:43 PM (CST)",,Jenny Picking Cockles (https://www.notion.so/Jenny-Picking-Cockles-0c00f9527c89458a85aca62cc9e93eab?pvs=21)
The Kid on the Mountain (24-02-18),"February 18, 2024 9:16 AM (CST)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
Humours of Ballyloughlin (24-02-18),"February 18, 2024 12:40 PM (CST)",,Humours of Ballyloughlin (https://www.notion.so/Humours-of-Ballyloughlin-a8a2937f76c54d2e82642d739a2f18d9?pvs=21)
The Saint Louis Waltz (24-02-18),"February 18, 2024 6:04 PM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
Come West Along the Road (24-02-18),"February 18, 2024 11:28 PM (CST)",,Come West Along the Road (https://www.notion.so/Come-West-Along-the-Road-747f05a787254086bd44458bd5636459?pvs=21)
Come West Along the Road (24-02-19),"February 19, 2024 9:01 AM (CST)",,Come West Along the Road (https://www.notion.so/Come-West-Along-the-Road-747f05a787254086bd44458bd5636459?pvs=21)
The Saint Louis Waltz (24-02-19),"February 19, 2024 9:39 AM (CST)",,The Saint Louis Waltz (https://www.notion.so/The-Saint-Louis-Waltz-5840fd56ce504cd698ac4d8d920f439c?pvs=21)
The Kid on the Mountain (24-02-19),"February 19, 2024 9:52 AM (CST)",,The Kid on the Mountain (https://www.notion.so/The-Kid-on-the-Mountain-00016bef41234f3faa408589f4d8da57?pvs=21)
