Name,Days Since Last Practiced,Freq,Last Practiced,Tune Type,Tunes,☑️ Practiced
Joe Bane’s / The Princess / Lucy Farr,5,4,"April 12, 2026",Barndance,"Joe Bane’s (https://www.notion.so/Joe-Bane-s-767652c54e744238ab21c4dc6adc4276?pvs=21), The Princess (https://www.notion.so/The-Princess-9f55bda76f3f4c4692293374a42de21a?pvs=21), Lucy Farr (https://www.notion.so/Lucy-Farr-d11cc60099ab422fa35e7ef8fec3d923?pvs=21)",
Rathawuan / The Hare In the Corn / Dingle Regatta,11,4,"April 6, 2026",Slide,"The Rathawuan Slide (https://www.notion.so/The-Rathawuan-Slide-f71cc10f0540437c9eeaac6cc283f79d?pvs=21), The Hare in the Corn (https://www.notion.so/The-Hare-in-the-Corn-b8637a86c93b4580b4c5d57b0a99897b?pvs=21), Dingle Regatta (https://www.notion.so/Dingle-Regatta-a089fde022d4406a8bdb99c59fcfcae9?pvs=21)",
Flowers of Munster /Monaghan Twig / Hare’s Paw,37,6,"March 11, 2026",Reel,"Monaghan Twig (https://www.notion.so/Monaghan-Twig-8ed17efdecc642109d2a0213d7b9839d?pvs=21), The Flowers of Munster (https://www.notion.so/The-Flowers-of-Munster-13f04f42e3e080f3b14aec00883fca4a?pvs=21), The Hare’s Paw (https://www.notion.so/The-Hare-s-Paw-14504f42e3e0801e8f02e6cf9174f023?pvs=21)",
David Collins #1 / David Collins #2 / David Collins #3,755,4,"March 22, 2024 7:17 AM (CDT)",Polka,"David Collins #1  (https://www.notion.so/David-Collins-1-7cf501a1d26e4b0aa168bfe03893ec61?pvs=21), David Collins #2 (https://www.notion.so/David-Collins-2-9d557794a1d544dd9f56c1eea03f9a67?pvs=21), David Collins #3 (https://www.notion.so/David-Collins-3-febe9a45e7e1425f9d6cd7317ea87cfe?pvs=21)",
Kit O’Mahoney’s / Dances at Kinvara / Jimmy Duffy’s #1,1,5,"April 16, 2026",Barndance,"Kit O'Mahoney's  (https://www.notion.so/Kit-O-Mahoney-s-1b5ad99f0f9f46689e14df11b1aa55cd?pvs=21), The Dances at Kinvara (https://www.notion.so/The-Dances-at-Kinvara-5ad1820870b143f4bc7b3fe4e79e2d01?pvs=21), Jimmy Duffy’s #1 (https://www.notion.so/Jimmy-Duffy-s-1-7758e29ff4a4429b908a8b5004f033a4?pvs=21)",
The Meelick Team / Darby the Driver / Mug of Brown Ale (Jigs),58,5,"February 18, 2026",Jig,"The Meelick Team (https://www.notion.so/The-Meelick-Team-57733247e8e04e1ba7bcc895eecf1284?pvs=21), Darby the Driver (https://www.notion.so/Darby-the-Driver-bd08e1e2b24145f19cec20079f9c9cc4?pvs=21), Mug of Brown Ale (https://www.notion.so/Mug-of-Brown-Ale-b87c86a1ef48464993d207e318b57a6b?pvs=21)",
" Humours of Drinagh / Humours of Ennistymon / Wandering Minstrel",56,5,"February 20, 2026",Jig,"The Humours of Drinagh (https://www.notion.so/The-Humours-of-Drinagh-4d80c7bc671f44988d0f3c2b43afa8eb?pvs=21), Humours of Ennistymon (https://www.notion.so/Humours-of-Ennistymon-d65b81dba2ad43ac9d90f2b0af4b2e7b?pvs=21), The Wandering Minstrel (https://www.notion.so/The-Wandering-Minstrel-538775a9103449f795d5acdc7a1146d6?pvs=21)",
Ten Penny Piece/ My Mind Will Ne’er Be Easy/ The Cock and the Hen,41,5,"March 7, 2026",Slip Jig,"My Mind Will Ne’er Be Easy (https://www.notion.so/My-Mind-Will-Ne-er-Be-Easy-31da303be67e479a86646638224a81ce?pvs=21), The Cock and the Hen (https://www.notion.so/The-Cock-and-the-Hen-14d04f42e3e080e297d8ccc4316d88f1?pvs=21), The Tenpenny Piece (https://www.notion.so/The-Tenpenny-Piece-f3c319dd6c2547fdaa64302da8640b6c?pvs=21)",
Corney is Coming / Jenny’s Wedding / Jenny Picking Cockles,73,5,"February 3, 2026",Reel,"Corney is Coming (https://www.notion.so/Corney-is-Coming-0f13aa1dc7dd4c5cac5ea7febd3cfacd?pvs=21), Jenny’s Wedding (Reel) (https://www.notion.so/Jenny-s-Wedding-Reel-d33bfc003bdf443a80c372f13a1f5738?pvs=21), Jenny Picking Cockles (https://www.notion.so/Jenny-Picking-Cockles-0c00f9527c89458a85aca62cc9e93eab?pvs=21)",
John Joe Harnett and Moss Murphys (Slides),2,4,"April 15, 2026",Slide,"John Joe Harnett’s (https://www.notion.so/John-Joe-Harnett-s-3caa6fe31e88400f92ad88ef663f29ab?pvs=21), Moss Murphys #1 (https://www.notion.so/Moss-Murphys-1-9169545be89440eb8a13073fa4039b14?pvs=21), Moss Murphys #2 (https://www.notion.so/Moss-Murphys-2-c982ee29b72745789cce70be5aa5b88b?pvs=21)",
